Market,Commodity,mean_price,volatility,mean_deviation,risk_cluster
Bihar_Market_0,Maize,1900.657905,195.2256118,0.132323693,1
Bihar_Market_0,Mustard,5202.080748,544.7621924,0.262399801,0
Bihar_Market_0,Onion,1494.264677,153.8458254,-0.119314088,1
Bihar_Market_0,Potato,1204.707005,124.7882078,0.602690783,2
Bihar_Market_0,Rice,2800.074789,297.4234125,0.108720537,1
Bihar_Market_0,Soybean,4212.040584,435.1132295,0.455521512,0
Bihar_Market_0,Tomato,1803.980657,188.896523,0.398422388,2
Bihar_Market_0,Wheat,2202.496139,244.29969,0.257054818,2
Bihar_Market_1,Maize,1898.135528,195.166621,0.04760234,1
Bihar_Market_1,Mustard,5209.622006,587.5129202,0.388311826,0
Bihar_Market_1,Onion,1502.673357,158.1823211,0.373844307,2
Bihar_Market_1,Potato,1197.678327,128.0317383,0.053008239,1
Bihar_Market_1,Rice,2798.227273,292.0280671,0.077614532,1
Bihar_Market_1,Soybean,4210.702516,434.4299507,0.396397264,0
Bihar_Market_1,Tomato,1807.962925,193.6120474,0.566536884,2
Bihar_Market_1,Wheat,2207.598934,230.2084335,0.482664619,2
Bihar_Market_10,Maize,1901.610371,198.5482818,0.286725618,2
Bihar_Market_10,Mustard,5205.914825,559.1189764,0.240576874,0
Bihar_Market_10,Onion,1501.14323,154.0711915,0.274486253,2
Bihar_Market_10,Potato,1198.076962,123.8742842,0.049725122,1
Bihar_Market_10,Rice,2787.279874,292.7645553,-0.339522823,1
Bihar_Market_10,Soybean,4216.272211,428.9698895,0.501327291,0
Bihar_Market_10,Tomato,1800.590839,185.1649034,0.19893343,1
Bihar_Market_10,Wheat,2199.728906,230.8250444,0.139141678,1
Bihar_Market_11,Maize,1894.080225,200.0956392,-0.170506828,1
Bihar_Market_11,Mustard,5180.260993,536.5659902,-0.21229776,3
Bihar_Market_11,Onion,1500.210314,153.9840837,0.203142912,1
Bihar_Market_11,Potato,1198.812748,123.3978786,0.083911655,1
Bihar_Market_11,Rice,2797.3,294.9436513,0.050248026,1
Bihar_Market_11,Soybean,4201.068966,447.8958373,0.160661547,3
Bihar_Market_11,Tomato,1800.137624,182.5326429,0.2223216,1
Bihar_Market_11,Wheat,2194.828702,235.4487343,-0.089271062,1
Bihar_Market_12,Maize,1902.429634,195.4180482,0.335877404,2
Bihar_Market_12,Mustard,5214.717454,548.5571223,0.484641746,0
Bihar_Market_12,Onion,1501.850782,159.805956,0.301078546,2
Bihar_Market_12,Potato,1197.701048,126.0735762,-0.033342524,1
Bihar_Market_12,Rice,2799.645702,285.104789,0.08715605,1
Bihar_Market_12,Soybean,4207.245882,446.7166464,0.343613769,0
Bihar_Market_12,Tomato,1801.534255,197.4947855,0.298054223,2
Bihar_Market_12,Wheat,2200.073103,225.4168674,0.163004615,1
Bihar_Market_13,Maize,1903.295464,198.8401442,0.31525321,2
Bihar_Market_13,Mustard,5207.371763,552.6824935,0.304287293,0
Bihar_Market_13,Onion,1501.798342,157.3835367,0.376582168,2
Bihar_Market_13,Potato,1198.363147,126.4634429,0.062711774,1
Bihar_Market_13,Rice,2811.963803,300.8716695,0.500083886,2
Bihar_Market_13,Soybean,4206.971897,466.6820568,0.249689933,0
Bihar_Market_13,Tomato,1804.296805,188.2204241,0.436603544,2
Bihar_Market_13,Wheat,2203.515146,225.1213625,0.253430234,2
Bihar_Market_14,Maize,1901.99805,194.5624903,0.2753084,2
Bihar_Market_14,Mustard,5199.198824,533.8191623,0.191511568,3
Bihar_Market_14,Onion,1500.68848,155.4604727,0.274596895,2
Bihar_Market_14,Potato,1198.245079,122.3171348,-0.003045646,1
Bihar_Market_14,Rice,2799.304833,292.8767502,0.120868252,1
Bihar_Market_14,Soybean,4197.068767,455.1729772,0.04449977,3
Bihar_Market_14,Tomato,1798.811462,179.7537726,0.133386634,1
Bihar_Market_14,Wheat,2213.244537,233.9347958,0.689627118,2
Bihar_Market_15,Maize,1896.445455,201.4006348,-0.041132778,1
Bihar_Market_15,Mustard,5196.496003,541.1972276,0.139892416,3
Bihar_Market_15,Onion,1499.198731,160.9305674,0.105210501,1
Bihar_Market_15,Potato,1201.517537,126.5657755,0.407894903,2
Bihar_Market_15,Rice,2801.173787,295.1214998,0.196885348,1
Bihar_Market_15,Soybean,4200.99227,431.9417931,0.1605771,3
Bihar_Market_15,Tomato,1798.618034,187.2733225,0.227283524,1
Bihar_Market_15,Wheat,2198.008641,235.6754853,0.064226086,1
Bihar_Market_16,Maize,1898.803073,204.6965956,0.141468371,1
Bihar_Market_16,Mustard,5220.754288,555.3392547,0.546413736,0
Bihar_Market_16,Onion,1506.43302,152.7948427,0.672616384,2
Bihar_Market_16,Potato,1198.401815,126.8153325,0.152035485,1
Bihar_Market_16,Rice,2796.995312,287.1741248,0.001754499,1
Bihar_Market_16,Soybean,4205.19004,432.9789429,0.207707749,3
Bihar_Market_16,Tomato,1799.431634,183.3651725,0.101516171,1
Bihar_Market_16,Wheat,2197.765681,228.9516725,0.071222624,1
Bihar_Market_17,Maize,1901.774373,197.6128236,0.29722338,2
Bihar_Market_17,Mustard,5202.20625,552.6820531,0.204126783,3
Bihar_Market_17,Onion,1495.073895,152.5251679,-0.114181098,1
Bihar_Market_17,Potato,1199.069751,123.7847794,0.125480014,1
Bihar_Market_17,Rice,2792.57137,287.9237935,-0.122996812,1
Bihar_Market_17,Soybean,4199.184066,428.3929226,0.151043576,3
Bihar_Market_17,Tomato,1797.340098,187.1718095,0.026002345,1
Bihar_Market_17,Wheat,2195.252625,239.0288745,-0.076225775,1
Bihar_Market_18,Maize,1901.924753,201.1857796,0.19989956,1
Bihar_Market_18,Mustard,5186.874695,558.1978005,-0.121250585,3
Bihar_Market_18,Onion,1504.037689,160.6710474,0.397591971,2
Bihar_Market_18,Potato,1202.415525,122.6300409,0.396183796,2
Bihar_Market_18,Rice,2803.45661,285.6712531,0.323849741,2
Bihar_Market_18,Soybean,4190.152422,424.3816347,-0.111223715,3
Bihar_Market_18,Tomato,1800.248806,186.4150768,0.177569211,1
Bihar_Market_18,Wheat,2198.795253,239.3638717,0.081543566,1
